update,seed,board_size,hidden_size,avg_reward,success_frac,median_reward_across_seeds,median_delta,temperature
10,100,10,16,0.009215,0.050000,0.009215,0.000000,0.951110
20,100,10,16,0.009223,0.050000,0.009223,0.000007,0.904610
30,100,10,16,0.012193,0.060000,0.012193,0.002970,0.860384
40,100,10,16,0.007655,0.035000,0.007655,-0.004538,0.818320
50,100,10,16,0.010967,0.050000,0.010967,0.003312,0.778313
60,100,10,16,0.009238,0.050000,0.009238,-0.001729,0.740261
70,100,10,16,0.010916,0.050000,0.010916,0.001678,0.704070
80,100,10,16,0.007165,0.035000,0.007165,-0.003750,0.669648
90,100,10,16,0.009846,0.045000,0.009846,0.002681,0.636909
100,100,10,16,0.008939,0.050000,0.008939,-0.000908,0.605770
110,100,10,16,0.006815,0.035000,0.006815,-0.002124,0.576154
120,100,10,16,0.006704,0.035000,0.006704,-0.000110,0.547986
130,100,10,16,0.011826,0.050000,0.011826,0.005122,0.521195
140,100,10,16,0.011948,0.050000,0.011948,0.000122,0.495714
150,100,10,16,0.011393,0.060000,0.011393,-0.000555,0.471479
160,100,10,16,0.006308,0.035000,0.006308,-0.005085,0.448428
170,100,10,16,0.006223,0.035000,0.006223,-0.000086,0.426505
180,100,10,16,0.005092,0.025000,0.005092,-0.001130,0.405653
190,100,10,16,0.006068,0.035000,0.006068,0.000976,0.385821
200,100,10,16,0.004923,0.025000,0.004923,-0.001146,0.366958
210,100,10,16,0.012098,0.055000,0.012098,0.007175,0.349017
220,100,10,16,0.009239,0.050000,0.009239,-0.002859,0.331954
230,100,10,16,0.004706,0.025000,0.004706,-0.004533,0.315725
240,100,10,16,0.015274,0.065000,0.015274,0.010568,0.300289
250,100,10,16,0.011139,0.060000,0.011139,-0.004135,0.285608
260,100,10,16,0.011126,0.060000,0.011126,-0.000013,0.271645
270,100,10,16,0.009564,0.045000,0.009564,-0.001562,0.258364
280,100,10,16,0.009577,0.045000,0.009577,0.000013,0.245733
290,100,10,16,0.015918,0.065000,0.015918,0.006341,0.233719
300,100,10,16,0.016012,0.065000,0.016012,0.000094,0.222292
310,100,10,16,0.016094,0.065000,0.016094,0.000082,0.211424
320,100,10,16,0.016164,0.065000,0.016164,0.000070,0.201088
330,100,10,16,0.016223,0.065000,0.016223,0.000059,0.191257
340,100,10,16,0.011070,0.060000,0.011070,-0.005153,0.181906
350,100,10,16,0.011068,0.060000,0.011068,-0.000003,0.173013
360,100,10,16,0.011066,0.060000,0.011066,-0.000002,0.164554
370,100,10,16,0.016368,0.065000,0.016368,0.005302,0.156509
380,100,10,16,0.016387,0.065000,0.016387,0.000019,0.148857
390,100,10,16,0.016401,0.065000,0.016401,0.000014,0.141580
