update,num_transitions,avg_episode_reward,avg_step_reward,policy_loss,value_loss,entropy,total_loss
1,286,-1.430000,-0.010000,-0.01507506,0.00549192,1.38481944,-0.15081104
2,317,-1.585000,-0.010000,-0.00200822,0.00785046,1.38516163,-0.13659916
3,474,-0.913333,-0.005781,-0.00771808,0.03361230,1.37365583,-0.12827751
4,460,-0.866667,-0.005652,-0.01287561,0.03857182,1.35839642,-0.12942934
5,472,-1.573333,-0.010000,0.01399376,0.00571602,1.35462515,-0.11861075
6,262,-1.310000,-0.010000,0.07445803,0.00624945,1.36341051,-0.05875829
7,503,-1.343333,-0.008012,0.00114514,0.02116396,1.35873714,-0.12414659
8,397,-1.985000,-0.010000,0.00790895,0.00617404,1.37297134,-0.12630117
9,455,-0.850000,-0.005604,0.02591842,0.03520873,1.36471446,-0.09294866
10,488,-1.293333,-0.007951,0.00339808,0.02262190,1.35334986,-0.12062596
11,357,-1.785000,-0.010000,-0.00886483,0.00809623,1.35534063,-0.14035077
12,478,-0.926667,-0.005816,-0.01104323,0.03746547,1.36050335,-0.12836083
13,508,-1.693333,-0.010000,-0.01431893,0.01037943,1.34949926,-0.14407915
14,399,-1.495000,-0.007494,0.00555985,0.02218279,1.34322663,-0.11767142
15,410,-0.700000,-0.005122,0.01472458,0.04250855,1.35175969,-0.09919711
16,331,-1.655000,-0.010000,0.00198540,0.00966112,1.35710116,-0.12889415
17,460,-1.200000,-0.007826,0.00763617,0.02567029,1.36452619,-0.11598131
18,397,-1.485000,-0.007481,-0.02029572,0.02842548,1.36602616,-0.14268560
19,482,-1.273333,-0.007925,0.00197991,0.02441982,1.36003592,-0.12181377
20,505,-1.016667,-0.006040,-0.00212829,0.04274760,1.34632284,-0.11538677
21,326,-1.130000,-0.006933,-0.02908620,0.03461811,1.34823390,-0.14660054
22,464,-1.213333,-0.007845,0.02172957,0.02373305,1.37534550,-0.10393846
23,430,-0.766667,-0.005349,-0.00110018,0.03803844,1.37838861,-0.11991983
24,490,-1.633333,-0.010000,0.00774291,0.01006746,1.38044190,-0.12526755
25,298,-0.990000,-0.006644,-0.00354636,0.03198380,1.38133799,-0.12568826
26,291,-0.955000,-0.006564,-0.01146816,0.03494606,1.37687687,-0.13168282
27,501,-1.336667,-0.008004,-0.00070664,0.02256680,1.37124007,-0.12654725
28,504,-1.680000,-0.010000,-0.00139556,0.01016682,1.36766401,-0.13307855
29,276,-1.380000,-0.010000,0.00297740,0.01058953,1.35395576,-0.12712341
30,315,-1.575000,-0.010000,-0.00600701,0.01059097,1.35368143,-0.13607967
31,322,-1.610000,-0.010000,0.00370987,0.00971092,1.36711966,-0.12814664
32,387,-1.435000,-0.007416,0.01601747,0.02507551,1.37582113,-0.10902689
33,493,-1.310000,-0.007972,-0.00223970,0.02653770,1.37844771,-0.12681562
34,508,-1.360000,-0.008031,-0.00478201,0.02662641,1.36947415,-0.12841622
35,502,-1.340000,-0.008008,-0.00311893,0.02507981,1.35830467,-0.12640950
36,447,-0.823333,-0.005526,-0.00369928,0.04179778,1.33461568,-0.11626196
37,385,-0.925000,-0.004805,0.06342041,0.03558396,1.32930074,-0.05171769
38,371,-1.355000,-0.007305,-0.00567821,0.02517265,1.33910464,-0.12700235
39,262,-1.310000,-0.010000,-0.02277027,0.01091034,1.32886011,-0.15020112
40,362,-0.810000,-0.004475,-0.00257516,0.04326054,1.34412842,-0.11535773
41,440,-1.466667,-0.010000,-0.00360757,0.01068202,1.35595334,-0.13386189
42,506,-1.353333,-0.008024,-0.00274791,0.02346757,1.37826526,-0.12884066
43,399,-1.995000,-0.010000,0.00225345,0.00761403,1.38467472,-0.13240701
44,440,-0.133333,-0.000909,-0.00104070,0.06987840,1.38442830,-0.10454433
45,256,-1.280000,-0.010000,-0.00007130,0.01074561,1.38121618,-0.13282012
46,494,-1.313333,-0.007976,0.00277963,0.02652785,1.38074756,-0.12203121
47,459,-0.863333,-0.005643,-0.02314787,0.03846626,1.38042649,-0.14195740
48,390,0.050000,0.000256,-0.00019800,0.08767494,1.37473562,-0.09383409
49,494,-0.980000,-0.005951,-0.00252609,0.03746598,1.37550609,-0.12134370
50,451,-0.836667,-0.005565,0.02713589,0.03397034,1.35818831,-0.09169777
51,493,-0.976667,-0.005943,-0.00087936,0.03252008,1.36133266,-0.12075259
52,320,-1.100000,-0.006875,-0.00264327,0.02691760,1.36821669,-0.12600614
53,387,-0.935000,-0.004832,-0.02466058,0.04162865,1.37097227,-0.14094348
54,314,-0.070000,-0.000446,-0.00660747,0.08833755,1.36478662,-0.09891736
55,450,-1.166667,-0.007778,0.03107056,0.01918483,1.33814547,-0.09315158
56,395,-0.475000,-0.002405,-0.02314891,0.05465558,1.33366601,-0.12918772
57,356,-1.280000,-0.007191,-0.00142678,0.02503277,1.35758576,-0.12466897
58,293,-0.965000,-0.006587,0.00243523,0.02733397,1.36510266,-0.12040806
59,407,-0.690000,-0.005086,0.01726026,0.03802211,1.36822110,-0.10055080
60,356,-1.280000,-0.007191,0.00213244,0.02475996,1.36947003,-0.12243459
61,350,-0.750000,-0.004286,0.00313551,0.04126600,1.36033132,-0.11226463
62,463,-1.210000,-0.007840,0.01830607,0.02024501,1.35579362,-0.10715078
63,297,-0.485000,-0.003266,0.00335554,0.05413827,1.36084112,-0.10565945
64,340,-0.200000,-0.001176,-0.00902807,0.05912167,1.36324349,-0.11579159
65,388,-1.940000,-0.010000,0.01249906,0.00546386,1.36117839,-0.12088685
66,317,-1.585000,-0.010000,-0.00013432,0.00693813,1.34879225,-0.13154448
67,335,-1.675000,-0.010000,0.01221317,0.00771833,1.35294078,-0.11922175
68,388,-1.440000,-0.007423,0.02856495,0.02131002,1.35651643,-0.09643169
69,479,-0.596667,-0.003737,-0.02511051,0.04966179,1.32203658,-0.13248328
70,407,-1.023333,-0.007543,-0.00622194,0.02608053,1.30352762,-0.12353444
71,301,-1.505000,-0.010000,0.00361218,0.01006718,1.33650924,-0.12500516
72,494,-0.646667,-0.003927,0.00199120,0.07102076,1.35159285,-0.09765771
73,466,-1.220000,-0.007854,-0.01581753,0.02485102,1.35610749,-0.13900278
74,409,-0.696667,-0.005110,0.01384855,0.04139085,1.36429757,-0.10188578
75,469,-0.563333,-0.003603,0.00082517,0.04940119,1.36674193,-0.11114843
76,430,-0.100000,-0.000698,0.00005041,0.07576186,1.37703804,-0.09977246
77,415,-0.716667,-0.005181,-0.01163491,0.05288570,1.37179388,-0.12237145
78,512,-1.373333,-0.008047,-0.00745711,0.01969570,1.34352153,-0.13196142
79,313,-1.065000,-0.006805,0.00164510,0.02833998,1.32990421,-0.11717533
80,305,-1.025000,-0.006721,-0.00131806,0.02691552,1.33721737,-0.12158204
81,485,-0.950000,-0.005876,-0.00312993,0.03551708,1.35231105,-0.12060250
82,501,-0.670000,-0.004012,-0.00705838,0.04168829,1.36916890,-0.12313113
83,471,-1.236667,-0.007877,0.00367213,0.02057437,1.35996571,-0.12203727
84,306,-1.030000,-0.006732,-0.00442984,0.02969729,1.35122989,-0.12470419
85,466,-1.553333,-0.010000,-0.02001395,0.00993424,1.35614273,-0.15066110
86,428,-1.093333,-0.007664,0.00097890,0.02601016,1.37024067,-0.12304009
87,325,-1.625000,-0.010000,0.03803671,0.00837164,1.37699140,-0.09547661
88,481,-0.936667,-0.005842,-0.00315265,0.04758546,1.38137574,-0.11749750
89,321,-1.605000,-0.010000,0.01498139,0.01039006,1.38133697,-0.11795728
90,314,-0.570000,-0.003631,-0.00012421,0.04804963,1.37898395,-0.11399779
91,292,-0.960000,-0.006575,-0.00027667,0.02980760,1.37225230,-0.12259811
92,334,-1.670000,-0.010000,0.00922847,0.00785729,1.34875847,-0.12171873
93,467,-0.890000,-0.005717,-0.01851793,0.03788310,1.33975539,-0.13355192
94,331,-1.155000,-0.006979,-0.01291953,0.02772348,1.35818401,-0.13487620
95,461,-0.870000,-0.005662,0.01229346,0.03748084,1.37055907,-0.10602202
96,271,-1.355000,-0.010000,0.01836950,0.00758047,1.37278670,-0.11511894
97,327,-1.135000,-0.006942,-0.00700753,0.03184073,1.36739149,-0.12782632
98,293,-1.465000,-0.010000,0.00926827,0.00800923,1.36771697,-0.12349881
99,260,-1.300000,-0.010000,0.05370057,0.01031515,1.36515357,-0.07765721
100,331,-1.655000,-0.010000,0.01841302,0.00961974,1.35429953,-0.11220706
101,259,-1.295000,-0.010000,-0.00048027,0.01355211,1.34004060,-0.12770828
102,386,-1.430000,-0.007409,0.00539382,0.02604410,1.33343584,-0.11492772
103,269,-0.845000,-0.006283,0.00365725,0.03670797,1.33405867,-0.11139464
104,503,-1.343333,-0.008012,-0.00204817,0.03241922,1.35406068,-0.12124463
105,439,-1.463333,-0.010000,0.00077656,0.01575391,1.36452062,-0.12779855
106,382,-0.910000,-0.004764,-0.00430332,0.04345876,1.35577195,-0.11815114
107,297,-0.485000,-0.003266,0.00074434,0.05099236,1.33311458,-0.10707095
108,282,-1.410000,-0.010000,0.00871929,0.00998339,1.32687612,-0.11897662
109,439,-0.463333,-0.003166,0.00071721,0.05399894,1.35234040,-0.10751736
110,282,0.090000,0.000638,0.00819492,0.06264970,1.36399016,-0.09687926
111,279,-0.395000,-0.002832,0.00021726,0.05147555,1.36809471,-0.11085444
112,303,-1.515000,-0.010000,0.00223520,0.00715087,1.36468475,-0.13065784
113,500,-1.333333,-0.008000,0.00161033,0.03111306,1.36267360,-0.11910051
114,443,-0.476667,-0.003228,-0.00245343,0.05251450,1.37303710,-0.11349990
115,448,-1.493333,-0.010000,-0.00028349,0.00772381,1.37934539,-0.13435612
116,276,-1.380000,-0.010000,0.01213798,0.00971799,1.38151458,-0.12115449
117,400,-0.500000,-0.002500,0.00251516,0.05515106,1.37997102,-0.10790642
118,287,-0.935000,-0.006516,-0.00815103,0.03033766,1.37642462,-0.13062467
119,326,-1.130000,-0.006933,0.02161228,0.02611675,1.36795121,-0.10212446
120,392,-1.960000,-0.010000,0.03597768,0.00618258,1.34182669,-0.09511370
121,357,-0.785000,-0.004398,-0.00340016,0.04429596,1.31247160,-0.11249935
122,289,-0.945000,-0.006540,0.00705414,0.02983415,1.28960370,-0.10698916
123,390,-1.450000,-0.007436,-0.06180912,0.02789059,1.28430959,-0.17629479
124,400,-1.500000,-0.007500,-0.02664742,0.03049732,1.31241278,-0.14264004
125,271,-0.355000,-0.002620,-0.02351769,0.05369079,1.31773139,-0.12844544
126,439,-0.796667,-0.005444,-0.00760067,0.03763059,1.28762735,-0.11754811
127,334,-1.170000,-0.007006,-0.00019374,0.02958993,1.28027621,-0.11342639
128,502,-1.673333,-0.010000,0.00034040,0.00812622,1.26803504,-0.12239999
129,476,-1.586667,-0.010000,-0.01595585,0.01066394,1.32839937,-0.14346382
130,292,-0.960000,-0.006575,0.00333684,0.03383972,1.34014678,-0.11375798
131,375,-1.875000,-0.010000,-0.00308648,0.00765263,1.33720020,-0.13298019
132,317,-1.085000,-0.006845,-0.00337022,0.03024967,1.33713727,-0.12195912
133,373,-1.365000,-0.007319,-0.00057926,0.02597904,1.32225462,-0.11981521
134,301,-0.505000,-0.003355,0.00289063,0.04792035,1.33833046,-0.10698224
135,338,-0.690000,-0.004083,-0.00033422,0.04505465,1.35670050,-0.11347694
136,311,-1.055000,-0.006785,0.00143569,0.02822222,1.36646559,-0.12109976
137,469,-1.563333,-0.010000,0.00831000,0.00934524,1.37711067,-0.12472846
138,503,-0.676667,-0.004036,0.00034102,0.04649704,1.38093694,-0.11450416
139,403,-1.343333,-0.010000,0.00522583,0.01118678,1.38178259,-0.12735904
140,314,-1.070000,-0.006815,-0.00136918,0.02751283,1.38492544,-0.12610531
141,328,-0.640000,-0.003902,-0.01724650,0.06633438,1.38524901,-0.12260421
142,404,-0.680000,-0.005050,0.00277586,0.04540055,1.38344470,-0.11286834
143,330,-1.150000,-0.006970,-0.03122847,0.03107660,1.38081633,-0.15377180
144,273,-0.865000,-0.006337,0.02695904,0.02799014,1.37706703,-0.09675260
145,479,-0.930000,-0.005825,0.01232442,0.03422958,1.37792516,-0.10835330
146,283,-0.915000,-0.006466,0.00644289,0.02986790,1.37942781,-0.11656595
147,432,-1.106667,-0.007685,-0.00602266,0.02435683,1.37785887,-0.13163013
148,482,-0.606667,-0.003776,0.00976243,0.05588051,1.37903591,-0.10020091
149,354,-1.270000,-0.007175,-0.00175102,0.02616074,1.37940674,-0.12661132
